 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -80.000  255.000   54.72  -71.82   12843    7418   10484  -39105   41160
  -80.000  260.000   50.83  -71.34   13037    8235   10106  -38595   40737
  -80.000  265.000   46.96  -70.88   13210    9015    9655  -38095   40321
  -80.000  270.000   43.13  -70.44   13362    9752    9135  -37609   39913
  -80.000  275.000   39.32  -70.03   13494   10439    8551  -37141   39516
  -80.000  280.000   35.53  -69.66   13605   11072    7906  -36692   39133
  -80.000  285.000   31.76  -69.31   13697   11646    7209  -36268   38768
  -80.000  290.000   27.99  -69.00   13770   12159    6464  -35869   38422
  -80.000  295.000   24.24  -68.72   13826   12607    5678  -35500   38098
  -80.000  300.000   20.50  -68.48   13867   12989    4857  -35162   37797
  -80.000  305.000   16.76  -68.27   13893   13303    4007  -34857   37524
  -80.000  310.000   13.03  -68.09   13907   13549    3135  -34587   37278
  -80.000  315.000    9.29  -67.95   13911   13729    2246  -34353   37063
  -80.000  320.000    5.55  -67.85   13906   13841    1345  -34157   36879
  -80.000  325.000    1.80  -67.77   13894   13887     436  -33999   36728
  -80.000  330.000   -1.97  -67.73   13876   13868    -476  -33882   36613
  -80.000  335.000   -5.75  -67.72   13853   13783   -1389  -33805   36533
  -80.000  340.000   -9.56  -67.73   13827   13634   -2297  -33770   36491
  -80.000  345.000  -13.41  -67.78   13797   13421   -3199  -33778   36487
  -80.000  350.000  -17.28  -67.86   13763   13142   -4089  -33829   36522
  -80.000  355.000  -21.20  -67.97   13727   12798   -4964  -33925   36597
  -75.000    0.000  -23.21  -65.61   13917   12790   -5486  -30693   33700
  -75.000    5.000  -26.87  -65.82   13888   12388   -6278  -30939   33913
  -75.000   10.000  -30.60  -66.08   13861   11930   -7056  -31250   34186
  -75.000   15.000  -34.40  -66.38   13831   11412   -7814  -31628   34520
  -75.000   20.000  -38.27  -66.73   13795   10831   -8543  -32074   34915
  -75.000   25.000  -42.19  -67.12   13748   10186   -9234  -32587   35368
  -75.000   30.000  -46.18  -67.57   13687    9476   -9876  -33165   35879
  -75.000   35.000  -50.23  -68.08   13605    8704  -10457  -33808   36443
  -75.000   40.000  -54.33  -68.64   13498    7872  -10965  -34510   37056
  -75.000   45.000  -58.47  -69.25   13362    6987  -11390  -35266   37713
  -75.000   50.000  -62.67  -69.91   13192    6056  -11719  -36071   38407
  -75.000   55.000  -66.92  -70.62   12983    5089  -11944  -36915   39132
  -75.000   60.000  -71.24  -71.38   12733    4096  -12057  -37792   39879
  -75.000   65.000  -75.62  -72.18   12440    3090  -12050  -38690   40641
  -75.000   70.000  -80.08  -73.01   12102    2085  -11921  -39601   41409
  -75.000   75.000  -84.64  -73.87   11720    1094  -11668  -40513   42174
  -75.000   80.000  -89.33  -74.75   11293     132  -11292  -41414   42927
  -75.000   85.000  -94.18  -75.64   10825    -789  -10797  -42296   43659
  -75.000   90.000  -99.23  -76.55   10321   -1655  -10187  -43146   44363
  -75.000   95.000 -104.52  -77.45    9784   -2453   -9472  -43955   45031
  -75.000  100.000 -110.13  -78.34    9224   -3175   -8661  -44713   45655
  -75.000  105.000 -116.13  -79.22    8649   -3809   -7766  -45413   46230
  -75.000  110.000 -122.61  -80.06    8072   -4350   -6799  -46048   46750
  -75.000  115.000 -129.68  -80.85    7504   -4791   -5776  -46610   47211
  -75.000  120.000 -137.46  -81.59    6964   -5131   -4709  -47097   47609
  -75.000  125.000 -146.05  -82.24    6470   -5367   -3613  -47505   47944
